age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,previous,poutcome,y
34,entrepreneur,divorced,tertiary,no,262,no,no,cellular,20,11,1,0,unknown,no
32,management,married,tertiary,no,2349,no,no,cellular,14,8,5,0,unknown,no
34,technician,single,secondary,no,1076,no,no,cellular,8,8,2,0,unknown,no
31,management,married,tertiary,no,156,no,no,cellular,13,8,7,0,unknown,yes
46,blue-collar,married,primary,no,258,yes,no,unknown,27,5,1,0,unknown,no
35,admin.,married,secondary,no,725,yes,no,cellular,20,11,7,1,failure,no
37,services,married,secondary,no,0,yes,yes,cellular,31,7,2,0,unknown,no
39,blue-collar,married,primary,no,694,yes,no,cellular,21,11,1,0,unknown,no
31,management,married,tertiary,no,623,yes,no,cellular,13,5,2,5,failure,no
40,services,married,secondary,no,1438,yes,no,cellular,6,5,1,2,failure,no
33,technician,married,secondary,no,6699,no,no,cellular,9,11,1,1,failure,no
32,blue-collar,married,secondary,no,0,yes,no,cellular,8,5,2,0,unknown,no
49,blue-collar,married,secondary,no,2039,yes,no,cellular,6,5,1,2,failure,yes
44,services,divorced,secondary,no,0,yes,no,unknown,4,6,5,0,unknown,no
57,housemaid,single,secondary,no,254,no,no,cellular,8,10,1,0,unknown,no
40,self-employed,married,secondary,no,2,no,no,cellular,22,8,5,0,unknown,no
44,unemployed,married,tertiary,no,178,no,no,cellular,8,8,2,0,unknown,no
34,student,married,unknown,no,1387,no,no,cellular,30,4,1,0,unknown,no
59,management,divorced,tertiary,no,0,yes,no,cellular,31,7,8,0,unknown,no
38,admin.,married,tertiary,no,669,yes,yes,cellular,31,7,2,0,unknown,no
47,services,married,secondary,no,2597,yes,no,unknown,16,5,1,0,unknown,no
39,blue-collar,married,primary,no,385,yes,no,unknown,16,5,4,0,unknown,no
55,technician,single,tertiary,no,-703,yes,no,cellular,8,5,3,0,unknown,no
33,blue-collar,married,primary,no,3704,yes,no,unknown,6,6,2,0,unknown,no
31,management,single,tertiary,no,12569,no,no,cellular,9,9,1,1,failure,yes
53,blue-collar,married,primary,no,25,yes,no,unknown,6,5,3,0,unknown,no
36,management,married,tertiary,no,9,no,no,cellular,11,8,4,0,unknown,yes
58,housemaid,married,secondary,no,2705,no,no,telephone,14,8,1,0,unknown,no
35,unemployed,married,secondary,no,978,no,no,cellular,29,12,3,3,success,yes
65,retired,married,primary,no,493,no,no,cellular,16,10,1,1,failure,no
49,unemployed,divorced,secondary,no,66,no,no,cellular,9,7,3,0,unknown,no
31,blue-collar,married,secondary,no,1354,yes,yes,cellular,17,11,2,0,unknown,no
50,blue-collar,married,primary,no,1164,yes,no,unknown,8,5,2,0,unknown,no
31,unemployed,single,primary,no,406,no,no,cellular,4,2,1,0,unknown,yes
49,admin.,married,secondary,no,635,no,no,cellular,25,8,3,0,unknown,no
49,blue-collar,married,primary,no,902,no,no,unknown,9,6,2,0,unknown,no
49,technician,married,secondary,no,1091,no,no,telephone,30,7,2,0,unknown,no
44,self-employed,married,tertiary,no,134,no,no,cellular,28,8,4,0,unknown,no
37,admin.,single,secondary,no,0,yes,no,cellular,16,4,2,0,unknown,no
43,management,divorced,tertiary,no,99,no,no,cellular,29,1,3,0,unknown,no
35,technician,married,secondary,no,13658,yes,no,telephone,9,12,2,0,unknown,no
45,services,married,secondary,no,0,no,yes,cellular,8,7,7,0,unknown,no
56,retired,married,secondary,no,-113,yes,yes,cellular,12,8,2,0,unknown,no
36,self-employed,married,secondary,no,189,yes,no,cellular,19,11,1,1,failure,no
64,retired,married,primary,no,43,no,no,cellular,11,3,1,1,success,no
48,management,divorced,tertiary,no,1328,yes,no,unknown,6,5,1,0,unknown,no
28,admin.,single,secondary,no,1323,yes,no,unknown,3,6,1,0,unknown,no
29,management,married,tertiary,no,318,yes,no,cellular,18,5,2,4,failure,no
33,blue-collar,married,secondary,no,640,yes,no,cellular,3,2,3,0,unknown,no
48,management,married,tertiary,no,1808,yes,no,cellular,26,2,1,0,unknown,yes
41,technician,single,tertiary,no,1646,yes,no,cellular,4,2,1,6,success,yes
52,technician,married,secondary,no,118,no,no,cellular,28,8,20,0,unknown,no
58,admin.,married,secondary,no,2,yes,yes,telephone,25,7,9,0,unknown,no
45,management,divorced,tertiary,no,220,yes,no,unknown,18,6,4,0,unknown,no
46,blue-collar,married,primary,no,91,yes,no,cellular,6,5,1,2,failure,no
34,management,married,tertiary,no,703,yes,no,cellular,14,4,1,0,unknown,yes
57,services,married,secondary,no,162,yes,no,unknown,5,5,1,0,unknown,no
24,student,single,secondary,no,508,yes,no,telephone,18,5,3,1,other,no
58,blue-collar,married,secondary,no,590,no,yes,unknown,5,6,1,0,unknown,no
43,blue-collar,married,primary,no,483,yes,no,cellular,12,5,3,0,unknown,no
21,services,single,secondary,no,361,no,no,telephone,5,6,1,1,other,no
39,technician,married,secondary,no,994,no,no,cellular,5,2,1,1,failure,no
31,admin.,married,secondary,no,88,yes,yes,cellular,8,8,2,0,unknown,no
42,blue-collar,divorced,secondary,no,47,yes,yes,unknown,8,5,1,0,unknown,no
32,blue-collar,single,secondary,no,1721,yes,no,unknown,21,5,2,0,unknown,no
56,management,divorced,tertiary,no,-59,no,yes,cellular,28,7,6,0,unknown,no
41,management,married,tertiary,no,6563,no,no,cellular,27,8,8,0,unknown,no
32,technician,divorced,tertiary,no,267,no,no,cellular,26,5,1,0,unknown,no
34,unemployed,married,secondary,no,0,yes,no,cellular,13,5,1,0,unknown,no
36,management,married,tertiary,no,860,yes,no,unknown,20,5,15,0,unknown,no
38,entrepreneur,married,tertiary,no,170,yes,no,cellular,18,5,1,0,unknown,yes
36,blue-collar,married,secondary,no,0,yes,no,unknown,6,5,1,0,unknown,no
36,technician,married,tertiary,no,1109,no,no,cellular,13,8,2,0,unknown,no
31,admin.,married,secondary,no,0,yes,yes,cellular,18,11,3,0,unknown,no
32,admin.,divorced,secondary,yes,-18,yes,no,unknown,12,5,3,0,unknown,no
24,admin.,single,secondary,no,926,yes,yes,cellular,15,5,1,0,unknown,no
33,technician,married,secondary,no,0,yes,yes,cellular,19,11,2,0,unknown,no
42,management,married,tertiary,no,9009,no,no,cellular,20,11,2,0,unknown,no
55,blue-collar,married,unknown,no,1665,no,no,telephone,30,7,2,0,unknown,no
41,blue-collar,married,primary,no,951,yes,no,cellular,20,4,4,0,unknown,no
23,management,single,tertiary,no,736,yes,no,cellular,30,4,1,0,unknown,no
64,retired,divorced,tertiary,no,890,no,no,cellular,3,7,3,0,unknown,no
27,management,single,tertiary,no,0,yes,no,cellular,30,1,4,0,unknown,no
51,technician,married,secondary,no,117,no,no,cellular,24,8,2,4,other,yes
46,management,divorced,tertiary,no,1297,no,no,cellular,11,8,3,0,unknown,yes
45,technician,married,secondary,no,49,no,no,cellular,29,7,2,0,unknown,no
30,blue-collar,married,secondary,no,975,yes,no,cellular,13,5,2,2,failure,no
27,management,single,tertiary,no,212,yes,no,cellular,15,5,1,0,unknown,no
32,management,single,tertiary,no,751,yes,no,unknown,8,5,1,0,unknown,no
44,unemployed,single,primary,no,4232,no,no,unknown,16,6,1,0,unknown,no
31,entrepreneur,married,tertiary,no,5191,no,no,cellular,20,11,2,0,unknown,no
55,technician,single,secondary,no,3339,yes,no,unknown,2,6,1,0,unknown,no
38,technician,single,secondary,no,-242,yes,no,cellular,18,5,3,6,success,yes
36,management,divorced,tertiary,no,3611,yes,no,unknown,4,6,3,0,unknown,no
32,management,single,secondary,no,249,yes,no,unknown,2,6,1,0,unknown,no
47,blue-collar,married,secondary,yes,-614,yes,no,unknown,26,5,2,0,unknown,no
50,entrepreneur,married,secondary,no,1011,yes,no,telephone,30,7,2,0,unknown,no
46,management,divorced,secondary,no,361,yes,no,unknown,19,5,7,0,unknown,no
36,management,married,tertiary,no,495,no,no,cellular,5,8,3,2,success,yes
58,housemaid,single,tertiary,no,145,yes,yes,cellular,16,7,2,0,unknown,no
24,technician,single,secondary,no,-46,yes,no,unknown,19,5,1,0,unknown,no
46,management,single,primary,no,538,no,no,unknown,17,6,3,0,unknown,no
44,blue-collar,married,secondary,no,788,yes,no,cellular,17,4,1,0,unknown,no
53,admin.,divorced,secondary,no,0,yes,yes,cellular,30,4,2,0,unknown,no
31,management,single,tertiary,no,574,yes,no,cellular,16,7,2,0,unknown,no
30,technician,single,tertiary,no,2325,no,no,cellular,5,4,3,4,other,no
54,blue-collar,married,unknown,no,310,yes,no,telephone,28,1,4,3,other,no
28,technician,single,secondary,no,618,yes,no,cellular,7,5,1,0,unknown,no
31,blue-collar,married,secondary,no,631,yes,no,unknown,23,5,4,0,unknown,no
30,technician,married,tertiary,no,1570,yes,no,cellular,26,5,1,0,unknown,no
44,services,married,secondary,no,0,yes,yes,cellular,11,5,1,0,unknown,no
36,admin.,married,secondary,no,-423,yes,yes,unknown,13,5,1,0,unknown,no
33,housemaid,single,tertiary,no,23663,yes,no,cellular,16,4,2,2,failure,no
28,admin.,married,secondary,no,934,yes,no,unknown,4,7,2,0,unknown,no
55,admin.,married,secondary,no,602,no,no,cellular,1,6,3,2,success,yes
47,blue-collar,married,secondary,no,1996,no,no,unknown,5,6,2,0,unknown,yes
43,blue-collar,married,primary,no,757,yes,no,unknown,9,5,4,0,unknown,no
34,management,single,tertiary,no,5086,no,no,cellular,25,5,4,0,unknown,yes
37,services,divorced,secondary,no,490,yes,no,cellular,2,2,1,0,unknown,no
29,management,married,tertiary,no,199,yes,yes,unknown,7,5,4,0,unknown,yes
37,services,single,secondary,no,-244,no,no,unknown,3,7,1,0,unknown,no
33,blue-collar,married,primary,no,50,yes,no,cellular,7,5,2,0,unknown,no
53,technician,divorced,secondary,no,0,yes,yes,cellular,15,7,5,0,unknown,no
42,housemaid,married,primary,no,1,yes,no,telephone,28,7,5,0,unknown,no
46,management,married,tertiary,no,964,yes,no,cellular,8,4,1,0,unknown,no
54,services,divorced,secondary,no,1012,yes,no,cellular,12,5,3,2,other,no
50,management,married,tertiary,no,4,no,no,cellular,17,11,1,2,failure,no
25,self-employed,single,tertiary,no,453,yes,no,cellular,17,7,1,0,unknown,no
42,housemaid,married,primary,no,145,no,no,cellular,20,8,2,0,unknown,no
70,retired,married,primary,no,3782,no,no,cellular,16,3,1,0,unknown,no
54,blue-collar,married,secondary,no,0,no,no,telephone,16,4,1,1,failure,no
48,blue-collar,married,secondary,no,741,yes,no,cellular,16,4,1,0,unknown,no
35,management,divorced,tertiary,no,649,no,no,cellular,16,4,1,0,unknown,no
38,technician,single,secondary,no,50,no,no,cellular,29,8,2,0,unknown,no
